#filetype genotype_data
#format id depth length update_born fitness num_cpus task.0 task.1 task.2 task.3 task.4 task.5 task.6 task.7 task.8 frac_pos frac_neg frac_neut frac_dead land_fitness sequence 

# Legend:
# 1: Genotype ID
# 2: Tree Depth
# 3: Genome Length
# 4: Update Born
# 5: Fitness
# 6: Number of CPUs
# 7: Not
# 8: Nand
# 9: And
# 10: OrNot
# 11: Or
# 12: AndNot
# 13: Nor
# 14: Xor
# 15: Equals
# 16: Fraction Mutations Beneficial
# 17: Fraction Mutations Detrimental
# 18: Fraction Mutations Neutral
# 19: Fraction Mutations Lethal
# 20: Average Lanscape Fitness
# 21: Genome Sequence

1 0 50 -1 0.248677 0 0 0 0 0 0 0 0 0 0 0.4656 0.0456 0.1528 0.336 0.164196 rucavccccccccccccccccccccccccccccccccccccutycasvab 
76 1 50 63 0.25 0 0 0 0 0 0 0 0 0 0 0.4128 0.0392 0.18 0.368 0.157645 rucavccccccccccccccccccvcccccccccccccccccutycasvab 
1439 2 50 138 0.251337 0 0 0 0 0 0 0 0 0 0 0.3752 0.0456 0.2112 0.368 0.158582 rucavccccccccccccccccccvcccjcccccccccccccutycasvab 
3340 3 50 175 0.252688 0 0 0 0 0 0 0 0 0 0 0.3352 0.0576 0.2432 0.364 0.160512 rucavccccccccccccccccccvcccjcccccccicccccutycasvab 
9103 4 49 236 0.258242 0 0 0 0 0 0 0 0 0 0 0.284898 0.0938776 0.282449 0.338776 0.170514 ruzavccccccccccccdccccvcccjcccccccicccccutycasvab 
9965 5 49 243 0.258242 0 0 0 0 0 0 0 0 0 0 0.272653 0.0734694 0.310204 0.343673 0.169377 ruzavcccccccccccqdccccvcccjcccccccicccccutycasvab 
11563 6 49 254 0.259669 0 0 0 0 0 0 0 0 0 0 0.235918 0.0816327 0.337959 0.34449 0.170104 ruzavcccncccccccqdccccvcccjcccccccicccccutycasvab 
12430 7 49 260 0.259669 0 0 0 0 0 0 0 0 0 0 0.240816 0.0710204 0.325714 0.362449 0.165486 ruzavcccncccccccqvccccvcccjcccccccicccccutycasvab 
30411 8 48 379 0.258427 0 0 0 0 0 0 0 0 0 0 0.279167 0.0708333 0.311667 0.338333 0.170908 ruzavcccncccccccqvcccccccjcccccccicccccutycasvab 
40487 9 48 446 0.259887 0 0 0 0 0 0 0 0 0 0 0.254167 0.0908333 0.318333 0.336667 0.172258 ruzavcccncccccccqvcccccccjcccccccicfcccutycasvab 
46101 10 48 483 0.261364 0 0 0 0 0 0 0 0 0 0 0.221667 0.124167 0.305833 0.348333 0.169872 ruzavcqcncccccccqvcccccccjcccccccicfcccutycasvab 
48881 11 48 501 0.258621 0 0 0 0 0 0 0 0 0 0 0.220833 0.1275 0.3 0.351667 0.167816 ruzaqcqcncceccccqvcccccccjcccccccicfcccutycasvab 
52670 12 48 526 0.258621 0 0 0 0 0 0 0 0 0 0 0.203333 0.124167 0.311667 0.360833 0.165402 ruzaqcqcncceccccqvcccccczjcccccccicfcccutycasvab 
62956 13 49 594 0.258427 0 0 0 0 0 0 0 0 0 0 0.223673 0.100408 0.316735 0.359184 0.171738 ruzaqcqcpncceccccqvcccccczjcccccccicfcccutycasvab 
64119 14 49 602 0.258427 0 0 0 0 0 0 0 0 0 0 0.240816 0.103673 0.305306 0.350204 0.174049 ruzaqcqcpncceccccqvccccccajcccccccicfcccutycasvab 
74269 15 50 668 0.262295 0 0 0 0 0 0 0 0 0 0 0.1992 0.1312 0.3264 0.3432 0.176088 ruzaqcqacpncceccccqvccccccajcccccccicfcccutycasvab 
83901 16 51 729 0.263441 0 0 0 0 0 0 0 0 0 0 0.17098 0.135686 0.355294 0.338039 0.178045 ruzaqcqacpncceccccqvccccccajccdcccccicfcccutycasvab 
88820 17 51 759 0.263441 0 0 0 0 0 0 0 0 0 0 0.17098 0.145098 0.346667 0.337255 0.178216 ruzaqcqacpncceccccqvccccccajckdcccccicfcccutycasvab 
